DONE32d1fbd42cc406f8f2e3029b5873dd8efaa50b7f3ca573a882c9faf290f8b
,R0003_rs10033900,R0003_rs11080055,R0003_rs11884770,R0003_rs12357257,R0003_rs943080,R0013_rs1152591,R0013_rs11718898,R0013_rs1997572,R0013_rs2106261,R0013_rs3771537,R0013_rs4499262,R0013_rs4946333,R0013_rs6843082,R0013_rs7508,R0013_rs883079,R0027_rs1035209,R0027_rs10411210,R0027_rs10505477,R0027_rs10506868,R0027_rs10774214,R0027_rs10795668,R0027_rs10936599,R0027_rs11169552,R0027_rs11190164,R0027_rs11632715,R0027_rs12241008,R0027_rs12603526,R0027_rs1321311,R0027_rs1535,R0027_rs16892766,R0027_rs174537,R0027_rs1800469,R0027_rs1957636,R0027_rs2241714,R0027_rs2423279,R0027_rs3217810,R0027_rs3217901,R0027_rs3802842,R0027_rs3824999,R0027_rs4246215,R0027_rs4444235,R0027_rs4711689,R0027_rs4779584,R0027_rs4813802,R0027_rs4919687,R0027_rs4925386,R0027_rs4939827,R0027_rs4946260,R0027_rs59336,R0027_rs6061231,R0027_rs6066825,R0027_rs6687758,R0027_rs6691170,R0027_rs6983267,R0027_rs7014346,R0027_rs7136702,R0027_rs7758229,R0027_rs961253,R0027_rs9929218,R0028_rs10953541,R0028_rs11203042,R0028_rs11206510,R0028_rs1122608,R0028_rs11556924,R0028_rs11830157,R0028_rs12190287,R0028_rs12413409,R0028_rs12526453,R0028_rs12976411,R0028_rs1412444,R0028_rs1561198,R0028_rs17087335,R0028_rs17464857,R0028_rs17465637,R0028_rs17514846,R0028_rs1878406,R0028_rs2023938,R0028_rs2047009,R0028_rs2048327,R0028_rs2075650,R0028_rs2252641,R0028_rs2505083,R0028_rs264,R0028_rs273909,R0028_rs2895811,R0028_rs3217992,R0028_rs3798220,R0028_rs4252120,R0028_rs445925,R0028_rs4773144,R0028_rs4845625,R0028_rs4977574,R0028_rs579459,R0028_rs646776,R0028_rs6544713,R0028_rs6725887,R0028_rs7136259,R0028_rs7692387,R0028_rs9319428,R0028_rs9515203,R0028_rs964184,R0028_rs974819,R0028_rs9818870,R0059_rs1056562,R0059_rs11780471,R0059_rs885518,R0064_rs10166942,R0064_rs10786156,R0064_rs11031122,R0064_rs11172113,R0064_rs11624776,R0064_rs1268083,R0064_rs1925950,R0064_rs2078371,R0064_rs4081947,R0064_rs561561,R0064_rs6478241,R0064_rs6693567,R0064_rs7684253,R0064_rs9349379,R0064_rs10752212,R0064_rs1378552,R0064_rs1858111,R0064_rs2150864,R0064_rs2153535,R0064_rs2318131,R0064_rs4076764,R0064_rs6946969,R0064_rs705145,R0064_rs7170668,R0064_rs9834560,R0064_rs997295,R0090_rs1023500,R0090_rs10503253,R0090_rs10520163,R0090_rs10791097,R0090_rs10803138,R0090_rs1106568,R0090_rs11210892,R0090_rs11682175,R0090_rs12522290,R0090_rs1378559,R0090_rs14403,R0090_rs1501357,R0090_rs17194490,R0090_rs2007044,R0090_rs2068012,R0090_rs215411,R0090_rs2514218,R0090_rs2535627,R0090_rs2693698,R0090_rs3849046,R0090_rs4129585,R0090_rs4240748,R0090_rs4523957,R0090_rs4702,R0090_rs4766428,R0090_rs6065094,R0090_rs6704641,R0090_rs6704768,R0090_rs7432375,R0090_rs7893279,R0090_rs8042374,R0090_rs8044995,R0090_rs832187,R0090_rs9420,R0090_rs950169,R0090_rs9636107
NA19307,1.15,0.91,0.9,1.11,0.88,1.09,1.08,1.1,1.0,1.0,1.0,1.08,1.0,1.09,1.11,1.0,0.94,1.12,1.0,1.04,1.0,1.0,0.95,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,0.98,1.04,0.99,0.95,1.0,0.92,0.89,0.93,1.0,1.0,1.11,1.0,0.92,1.14,0.94,1.0,1.08,0.94,1.18,1.09,0.96,1.02,1.0,1.12,1.0,1.0,1.0,1.0,1.05,1.0,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.0,1.06,1.0,1.06,1.0,1.05,1.0,1.06,1.0,1.0,1.07,1.03,1.0,1.06,1.0,1.04,1.14,1.0,1.03,1.09,1.05,1.05,1.0,1.08,1.11,1.0,1.0,1.04,1.07,1.0,1.07,1.0,1.07,1.0,1.11,1.0,1.0,0.94,1.0,1.0,0.9,1.0,0.96,1.07,1.11,1.0,1.0,1.05,1.0,0.96,1.0,1.0,1.03,1.04,1.04,1.0,1.0,1.03,1.0,1.05,1.04,1.04,1.03,1.076,1.0,1.065,1.076,1.0,0.934,0.934,0.933,1.084,1.09,1.0,0.926,1.101,0.912,1.0,1.064,0.927,1.071,0.939,1.0,1.0,0.943,1.0,0.922,1.0,0.928,1.0,0.93,1.0,1.125,1.0,1.081,0.941,1.068,1.0,1.0
NA19308,1.15,0.91,0.9,1.11,0.88,1.0,1.08,1.1,1.0,1.0,1.0,1.08,1.38,1.09,1.11,1.0,0.94,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,1.0,1.04,1.0,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.0,0.92,1.14,0.94,1.0,1.08,1.0,1.18,1.0,0.96,1.02,0.89,1.12,1.06,1.0,1.0,1.0,1.05,1.04,1.08,1.08,1.08,1.04,1.06,1.08,1.1,1.0,1.07,1.06,1.0,1.06,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.0,1.14,1.0,1.03,1.09,1.05,1.05,1.21,1.0,1.11,1.0,1.0,1.0,1.07,1.0,1.07,1.0,1.07,1.0,1.0,1.0,1.0,0.94,0.95,1.0,0.9,1.0,1.0,1.07,1.11,1.0,1.0,1.05,1.05,0.96,1.0,1.0,1.03,1.04,1.0,1.0,1.04,1.03,1.03,1.05,1.0,1.0,1.03,1.076,1.073,1.065,1.076,0.933,1.0,1.0,0.933,1.084,1.09,1.0,1.0,1.0,1.0,0.933,1.0,0.927,1.0,0.939,1.063,1.0,0.943,1.071,0.922,1.0,0.928,1.081,0.93,0.933,1.125,1.093,1.081,0.941,1.068,1.0,0.93
NA19309,1.15,0.91,0.9,1.11,0.88,1.0,1.08,1.0,1.0,1.0,1.0,1.08,1.0,1.09,1.11,1.0,1.0,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,0.98,1.04,0.99,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.0,1.08,0.94,1.18,1.09,0.96,1.0,1.0,1.12,1.06,1.0,1.09,0.95,1.05,1.04,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.0,1.06,1.06,1.06,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.0,1.0,1.0,1.03,1.09,1.05,1.05,1.0,1.08,1.11,1.0,1.0,1.04,1.07,1.0,1.07,1.05,1.07,1.0,1.11,1.0,1.0,0.94,0.95,1.0,1.0,0.96,0.96,1.07,1.0,1.0,1.0,1.05,1.0,0.96,1.0,1.0,1.03,1.0,1.0,1.05,1.04,1.0,1.0,1.05,1.04,1.04,1.03,1.076,1.0,1.065,1.0,0.933,0.934,1.0,0.933,1.084,1.09,1.0,0.926,1.0,1.0,0.933,1.064,0.927,1.071,0.939,1.063,1.0,0.943,1.071,0.922,1.0,1.0,1.081,1.0,1.0,1.125,1.093,1.081,0.941,1.0,1.0,1.0
NA19311,1.15,1.0,1.0,1.11,0.88,1.0,1.08,1.0,1.0,1.09,1.0,1.0,1.38,1.09,1.11,1.0,1.0,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,0.98,1.04,0.99,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.0,0.92,1.14,0.94,1.0,1.08,0.94,1.18,1.0,0.96,1.0,1.0,1.12,1.06,1.0,1.09,1.0,1.05,1.0,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.0,1.06,1.08,1.05,1.0,1.0,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.0,1.0,1.0,1.03,1.09,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.04,1.07,1.0,1.07,1.05,1.07,1.0,1.11,1.0,1.0,0.94,0.95,1.0,0.9,0.96,0.96,1.07,1.11,1.03,1.0,1.05,1.0,1.0,1.0,1.0,1.03,1.04,1.04,1.05,1.0,1.03,1.0,1.05,1.04,1.0,1.0,1.076,1.0,1.0,1.0,1.0,0.934,1.0,0.933,1.084,1.09,0.934,0.926,1.0,0.912,0.933,1.0,1.0,1.071,0.939,1.063,1.0,0.943,1.071,0.922,1.0,1.0,1.081,0.93,1.0,1.125,1.093,1.0,0.941,1.0,1.0,0.93
NA19317,1.15,0.91,0.9,1.11,0.88,1.0,1.08,1.1,1.0,1.09,1.0,1.08,1.38,1.09,1.11,1.09,0.94,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,1.0,1.04,1.0,0.95,1.0,0.92,1.0,0.93,1.0,0.92,1.11,1.0,0.92,1.14,0.94,1.0,1.08,1.0,1.18,1.0,0.96,1.0,1.0,1.12,1.06,1.0,1.09,0.95,1.05,1.04,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.0,1.05,1.06,1.0,1.0,1.0,1.0,1.03,1.0,1.0,1.0,1.04,1.0,1.0,1.03,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07,1.0,1.07,1.05,1.07,1.07,1.0,1.0,1.0,0.94,1.0,1.0,0.9,1.0,0.96,1.07,1.0,1.03,1.0,1.05,1.05,0.96,1.0,1.0,1.03,1.04,1.0,1.05,1.0,1.03,1.0,1.05,1.04,1.0,1.03,1.0,1.0,1.065,1.0,1.0,0.934,0.934,0.933,1.084,1.09,1.0,0.926,1.101,0.912,0.933,1.064,1.0,1.071,0.939,1.0,1.0,0.943,1.071,0.922,1.0,0.928,1.081,1.0,1.0,1.125,1.093,1.081,1.0,1.0,1.0,0.93
NA19318,1.15,0.91,0.9,1.11,0.88,1.09,1.08,1.1,1.0,1.09,1.0,1.0,1.0,1.09,1.11,1.0,0.94,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,1.0,1.04,1.0,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.13,1.08,0.94,1.18,1.0,0.96,1.02,1.0,1.12,1.06,1.0,1.09,0.95,1.05,1.0,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.0,1.05,1.0,1.06,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.0,1.0,1.0,1.03,1.0,1.0,1.0,1.0,1.0,1.11,1.0,1.0,1.04,1.07,1.0,1.07,1.05,1.07,1.0,1.0,1.0,1.17,0.94,0.95,1.0,0.9,1.0,0.96,1.07,1.11,1.03,1.0,1.05,1.05,0.96,1.0,1.0,1.0,1.0,1.0,1.05,1.04,1.03,1.0,1.05,1.0,1.04,1.03,1.076,1.0,1.065,1.076,1.0,0.934,1.0,0.933,1.084,1.09,0.934,0.926,1.0,1.0,0.933,1.0,1.0,1.0,0.939,1.0,1.0,0.943,1.0,0.922,1.0,0.928,1.0,1.0,1.0,1.125,1.093,1.081,0.941,1.068,1.0,0.93
NA19319,1.15,0.91,0.9,1.11,0.88,1.0,1.08,1.0,1.2,1.0,1.14,1.08,1.0,1.09,1.0,1.0,0.94,1.12,1.0,1.04,1.0,0.99,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,0.93,1.0,1.04,1.0,0.95,1.0,0.92,1.0,0.93,0.94,0.92,1.11,1.12,0.92,1.14,0.94,1.0,1.08,1.0,1.18,1.0,0.96,1.0,1.0,1.12,1.06,1.0,1.0,0.95,1.05,1.04,1.08,1.08,1.08,1.04,1.06,1.08,1.1,1.0,1.07,1.06,1.0,1.06,1.0,1.05,1.06,1.0,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.0,1.0,1.0,1.03,1.09,1.05,1.05,1.21,1.0,1.0,1.0,1.0,1.04,1.07,1.04,1.07,1.05,1.07,1.0,1.0,1.0,1.0,0.94,0.95,1.0,1.0,1.0,1.0,1.07,1.0,1.03,0.94,1.05,1.0,0.96,1.0,1.0,1.03,1.04,1.0,1.0,1.0,1.03,1.0,1.05,1.04,1.0,1.03,1.076,1.0,1.065,1.0,0.933,0.934,1.0,0.933,1.084,1.09,1.0,0.926,1.0,1.0,0.933,1.0,1.0,1.071,0.939,1.063,1.0,0.943,1.071,0.922,1.068,0.928,1.081,0.93,1.0,1.125,1.093,1.081,1.0,1.0,1.0,0.93
NA19334,1.15,1.0,0.9,1.11,0.88,1.0,1.08,1.1,1.0,1.09,1.0,1.0,1.38,1.09,1.11,1.09,1.0,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.0,1.07,0.83,1.0,0.98,1.04,1.0,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.13,1.08,0.94,1.0,1.09,0.96,1.02,1.0,1.0,1.06,1.0,1.09,1.0,1.05,1.0,1.08,1.08,1.08,1.04,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.0,1.05,1.06,1.0,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.04,1.0,1.0,1.03,1.09,1.05,1.05,1.21,1.08,1.11,1.0,1.0,1.04,1.07,1.0,1.07,1.0,1.07,1.0,1.11,1.0,1.17,0.94,0.95,1.0,0.9,0.96,0.96,1.07,1.0,1.0,0.94,1.05,1.0,0.96,1.0,1.0,1.03,1.04,1.0,1.0,1.04,1.03,1.0,1.05,1.04,1.04,1.0,1.076,1.0,1.065,1.0,0.933,0.934,0.934,0.933,1.084,1.09,0.934,0.926,1.0,1.0,0.933,1.064,1.0,1.071,0.939,1.063,1.087,0.943,1.071,0.922,1.068,0.928,1.0,0.93,1.0,1.125,1.0,1.0,0.941,1.0,1.0,1.0
NA19346,1.15,1.0,0.9,1.11,0.88,1.0,1.08,1.1,1.2,1.09,1.14,1.08,1.38,1.09,1.11,1.0,1.0,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,1.0,1.0,1.0,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.0,1.08,0.94,1.18,1.0,0.96,1.0,1.0,1.12,1.06,1.0,1.09,0.95,1.05,1.04,1.08,1.08,1.08,1.04,1.06,1.08,1.1,1.0,1.0,1.0,1.0,1.06,1.0,1.05,1.0,1.06,1.0,1.0,1.07,1.03,1.0,1.06,1.0,1.04,1.14,1.0,1.03,1.09,1.05,1.05,1.0,1.0,1.11,1.0,1.0,1.04,1.07,1.04,1.0,1.0,1.0,1.07,1.0,1.0,1.0,0.94,1.0,1.0,0.9,1.0,0.96,1.0,1.11,1.03,1.0,1.05,1.05,0.96,1.0,1.0,1.03,1.04,1.0,1.0,1.0,1.03,1.0,1.05,1.04,1.04,1.03,1.0,1.0,1.065,1.076,1.0,0.934,1.0,0.933,1.084,1.09,1.0,1.0,1.0,1.0,0.933,1.064,1.0,1.071,0.939,1.063,1.0,0.943,1.071,0.922,1.0,1.0,1.0,1.0,1.0,1.125,1.093,1.081,1.0,1.068,1.0,0.93
NA19347,1.15,0.91,1.0,1.11,0.88,1.0,1.08,1.0,1.2,1.09,1.14,1.08,1.38,1.09,1.0,1.0,0.94,1.12,1.1,1.04,1.0,0.99,1.0,1.0,1.05,0.92,0.92,1.0,1.07,0.83,1.0,1.0,1.04,1.0,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.0,0.92,1.14,0.94,1.13,1.08,0.94,1.18,1.0,0.96,1.0,1.0,1.0,1.06,1.0,1.09,0.95,1.05,1.04,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.0,1.06,1.0,1.05,1.06,1.06,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.0,1.14,1.0,1.03,1.09,1.0,1.05,1.21,1.08,1.11,1.0,1.0,1.04,1.07,1.0,1.07,1.05,1.07,1.07,1.0,1.0,1.17,0.94,0.95,1.0,1.0,1.0,0.96,1.07,1.11,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.03,1.04,1.0,1.05,1.04,1.03,1.0,1.05,1.0,1.04,1.03,1.076,1.0,1.065,1.0,0.933,0.934,0.934,0.933,1.084,1.09,1.0,1.0,1.0,0.912,0.933,1.064,0.927,1.071,0.939,1.0,1.0,0.943,1.0,0.922,1.068,0.928,1.081,0.93,0.933,1.125,1.093,1.081,0.941,1.068,1.0,1.0
NA19350,1.15,1.0,0.9,1.11,0.88,1.0,1.08,1.1,1.0,1.0,1.0,1.08,1.38,1.09,1.11,1.0,0.94,1.12,1.0,1.04,1.0,0.99,1.0,1.0,1.0,0.92,0.92,1.05,1.07,0.83,1.0,0.98,1.04,1.0,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.0,1.08,0.94,1.18,1.09,0.96,1.0,1.0,1.0,1.06,1.0,1.0,1.0,1.05,1.0,1.08,1.08,1.08,1.04,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.0,1.05,1.0,1.0,1.0,1.0,1.07,1.03,1.0,1.06,1.0,1.04,1.14,1.0,1.03,1.09,1.0,1.05,1.21,1.0,1.11,1.05,1.0,1.04,1.07,1.04,1.07,1.05,1.07,1.0,1.11,1.0,1.17,0.94,0.95,1.0,0.9,1.0,0.96,1.07,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.03,1.03,1.0,1.0,1.05,1.0,1.03,1.0,1.05,1.0,1.04,1.03,1.0,1.0,1.065,1.076,1.0,0.934,0.934,0.933,1.084,1.09,1.0,0.926,1.0,1.0,0.933,1.064,0.927,1.071,0.939,1.063,1.0,0.943,1.0,0.922,1.0,1.0,1.081,1.0,1.0,1.125,1.093,1.081,1.0,1.0,1.0,0.93
NA19352,1.15,0.91,0.9,1.11,0.88,1.0,1.08,1.0,1.2,1.0,1.14,1.0,1.38,1.09,1.0,1.0,1.0,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.0,1.07,0.83,1.0,0.98,1.04,0.99,0.95,1.0,0.92,0.89,0.93,1.0,1.0,1.11,1.0,0.92,1.14,0.94,1.13,1.08,0.94,1.18,1.09,0.96,1.0,1.0,1.0,1.06,1.0,1.09,0.95,1.05,1.04,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.0,1.05,1.0,1.06,1.0,1.0,1.07,1.03,1.0,1.06,1.0,1.0,1.0,1.0,1.03,1.09,1.0,1.05,1.21,1.08,1.11,1.0,1.0,1.04,1.07,1.04,1.07,1.05,1.07,1.0,1.0,1.0,1.17,0.94,0.95,1.0,1.0,1.0,1.0,1.07,1.11,1.0,1.0,1.05,1.0,0.96,1.0,1.0,1.03,1.04,1.04,1.0,1.0,1.03,1.0,1.05,1.0,1.04,1.03,1.076,1.0,1.065,1.076,0.933,1.0,1.0,0.933,1.084,1.09,1.0,0.926,1.0,1.0,0.933,1.064,1.0,1.071,0.939,1.063,1.0,0.943,1.071,0.922,1.068,1.0,1.081,1.0,1.0,1.125,1.093,1.081,0.941,1.0,1.0,1.0
NA19359,1.15,0.91,1.0,1.11,0.88,1.09,1.08,1.0,1.0,1.0,1.0,1.08,1.38,1.09,1.11,1.0,0.94,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,0.98,1.0,1.0,1.0,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.13,1.08,0.94,1.18,1.09,0.96,1.02,1.0,1.12,1.0,1.0,1.09,0.95,1.05,1.0,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.08,1.05,1.06,1.06,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.04,1.0,1.0,1.03,1.09,1.0,1.05,1.21,1.08,1.11,1.0,1.0,1.04,1.07,1.04,1.0,1.0,1.07,1.0,1.11,1.0,1.0,0.94,0.95,1.0,0.9,1.0,0.96,1.07,1.0,1.0,1.0,1.05,1.0,0.96,1.0,1.0,1.03,1.0,1.04,1.0,1.04,1.03,1.0,1.05,1.04,1.04,1.0,1.076,1.0,1.065,1.0,1.0,0.934,1.0,0.933,1.084,1.09,1.0,1.0,1.0,1.0,0.933,1.0,1.0,1.071,0.939,1.063,1.0,0.943,1.0,0.922,1.068,0.928,1.081,1.0,1.0,1.0,1.093,1.0,1.0,1.068,1.0,0.93
NA19371,1.15,0.91,1.0,1.11,0.88,1.0,1.08,1.1,1.0,1.0,1.0,1.08,1.38,1.09,1.11,1.0,0.94,1.12,1.0,1.04,0.97,0.99,1.0,1.0,1.05,1.0,0.92,1.0,1.07,0.83,1.0,0.98,1.04,0.99,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.0,0.92,1.14,0.94,1.0,1.08,1.0,1.18,1.0,0.96,1.0,1.0,1.12,1.06,1.0,1.0,0.95,1.05,1.0,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.0,1.06,1.0,1.06,1.0,1.05,1.06,1.06,1.0,1.0,1.0,1.03,1.0,1.06,1.06,1.0,1.0,1.0,1.03,1.09,1.05,1.0,1.0,1.0,1.11,1.0,1.0,1.04,1.07,1.0,1.07,1.05,1.07,1.07,1.11,1.0,1.17,0.94,1.0,1.0,1.0,0.96,0.96,1.07,1.0,1.0,0.94,1.05,1.05,0.96,1.0,1.0,1.03,1.04,1.0,1.0,1.0,1.03,1.03,1.05,1.04,1.0,1.03,1.076,1.0,1.065,1.076,1.0,0.934,1.0,0.933,1.084,1.09,1.0,0.926,1.0,1.0,0.933,1.064,1.0,1.0,1.0,1.063,1.0,0.943,1.071,0.922,1.0,0.928,1.081,0.93,1.0,1.125,1.0,1.081,1.0,1.068,1.0,0.93
NA19375,1.15,0.91,0.9,1.11,0.88,1.0,1.08,1.1,1.0,1.0,1.0,1.08,1.38,1.09,1.0,1.0,0.94,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.92,1.0,1.07,0.83,0.93,1.0,1.04,1.0,0.95,1.0,0.92,0.89,0.93,0.94,0.92,1.11,1.12,0.92,1.14,0.94,1.0,1.08,0.94,1.18,1.0,0.96,1.0,0.89,1.0,1.06,1.0,1.0,1.0,1.05,1.04,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.0,1.06,1.06,1.08,1.05,1.0,1.0,1.0,1.0,1.0,1.03,1.06,1.06,1.06,1.04,1.0,1.0,1.03,1.09,1.05,1.0,1.0,1.0,1.11,1.05,1.0,1.04,1.07,1.04,1.07,1.0,1.07,1.0,1.0,1.0,1.0,0.94,0.95,1.0,0.9,1.0,0.96,1.07,1.11,1.0,1.0,1.05,1.0,0.96,0.93,1.0,1.0,1.04,1.04,1.0,1.04,1.03,1.03,1.05,1.0,1.04,1.03,1.076,1.0,1.065,1.0,0.933,0.934,1.0,0.933,1.084,1.09,1.0,0.926,1.0,1.0,0.933,1.064,1.0,1.071,0.939,1.063,1.0,0.943,1.071,0.922,1.068,1.0,1.0,0.93,1.0,1.125,1.093,1.081,0.941,1.0,1.0,1.0
NA19376,1.0,0.91,0.9,1.11,0.88,1.09,1.08,1.1,1.0,1.09,1.0,1.08,1.0,1.09,1.11,1.0,0.94,1.12,1.0,1.04,1.0,0.99,1.0,1.0,1.0,0.92,0.92,1.0,1.07,0.83,1.0,0.98,1.04,0.99,0.95,1.0,0.92,1.0,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.0,1.08,1.0,1.18,1.09,0.96,1.02,1.0,1.0,1.06,1.0,1.09,0.95,1.05,1.04,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.08,1.05,1.0,1.0,1.0,1.0,1.0,1.03,1.0,1.06,1.0,1.04,1.0,1.0,1.0,1.09,1.05,1.0,1.0,1.0,1.11,1.05,1.0,1.04,1.07,1.0,1.07,1.0,1.07,1.07,1.0,1.0,1.17,0.94,0.95,1.0,0.9,1.0,0.96,1.07,1.0,1.0,1.0,1.05,1.0,0.96,1.0,1.0,1.03,1.04,1.0,1.05,1.0,1.03,1.0,1.05,1.04,1.04,1.03,1.076,1.073,1.065,1.0,1.0,0.934,1.0,0.933,1.084,1.09,1.0,1.0,1.0,0.912,0.933,1.064,1.0,1.0,0.939,1.0,1.0,0.943,1.071,0.922,1.0,0.928,1.081,0.93,0.933,1.125,1.093,1.0,1.0,1.068,1.0,0.93
NA19380,1.15,0.91,0.9,1.11,0.88,1.0,1.08,1.1,1.0,1.09,1.0,1.08,1.38,1.09,1.11,1.09,1.0,1.12,1.0,1.04,1.0,1.0,0.95,1.0,1.05,0.92,0.92,1.05,1.07,0.83,1.0,0.98,1.04,0.99,1.0,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.13,1.08,1.0,1.18,1.0,0.96,1.02,1.0,1.12,1.06,1.0,1.09,1.0,1.05,1.04,1.08,1.08,1.08,1.04,1.06,1.08,1.1,1.0,1.0,1.06,1.0,1.06,1.08,1.05,1.06,1.0,1.06,1.0,1.07,1.03,1.0,1.06,1.0,1.0,1.0,1.0,1.03,1.09,1.0,1.0,1.0,1.0,1.11,1.0,1.0,1.04,1.07,1.0,1.07,1.0,1.07,1.0,1.11,1.0,1.17,0.94,1.0,1.0,1.0,0.96,1.0,1.07,1.11,1.0,1.0,1.05,1.0,0.96,1.0,1.0,1.0,1.04,1.04,1.05,1.04,1.03,1.0,1.05,1.0,1.04,1.03,1.076,1.0,1.065,1.0,1.0,0.934,0.934,0.933,1.084,1.09,1.0,0.926,1.0,1.0,0.933,1.0,0.927,1.071,1.0,1.063,1.0,0.943,1.0,0.922,1.0,1.0,1.081,0.93,1.0,1.125,1.093,1.081,0.941,1.068,1.0,0.93
NA19382,1.15,1.0,0.9,1.11,0.88,1.0,1.08,1.0,1.0,1.09,1.0,1.08,1.38,1.09,1.11,1.09,1.0,1.12,1.0,1.04,1.0,1.0,1.0,1.0,1.0,0.92,0.92,1.05,1.07,0.83,1.0,0.98,1.04,0.99,0.95,1.0,0.92,0.89,0.93,1.0,0.92,1.11,1.12,0.92,1.14,0.94,1.13,1.08,1.0,1.18,1.0,0.96,1.0,1.0,1.12,1.06,1.0,1.0,0.95,1.05,1.04,1.08,1.08,1.08,1.0,1.06,1.08,1.1,1.0,1.07,1.06,1.06,1.06,1.0,1.05,1.06,1.0,1.06,1.0,1.07,1.0,1.0,1.06,1.0,1.0,1.0,1.0,1.03,1.09,1.0,1.0,1.0,1.0,1.11,1.0,1.0,1.04,1.07,1.04,1.07,1.0,1.07,1.0,1.11,1.0,1.17,0.94,0.95,1.0,0.9,1.0,1.0,1.07,1.0,1.03,1.0,1.05,1.05,0.96,1.0,1.0,1.0,1.04,1.04,1.05,1.04,1.03,1.0,1.05,1.04,1.04,1.03,1.076,1.073,1.065,1.0,0.933,0.934,1.0,0.933,1.084,1.09,1.0,0.926,1.0,0.912,0.933,1.064,0.927,1.0,1.0,1.0,1.0,0.943,1.0,0.922,1.0,1.0,1.081,0.93,1.0,1.125,1.093,1.0,0.941,1.068,1.0,0.93
